StudentID,StudyHours,AttendancePercent,PreviousScore,ParentalSupport,ExamScore
1,2.5,75,55,1,58
2,5.0,90,70,2,76
3,1.0,60,40,0,42
4,7.0,95,85,2,91
5,3.5,80,62,1,65
6,6.0,88,78,2,83
7,0.5,50,30,0,32
8,4.0,82,68,1,70
9,8.0,97,90,2,95
10,2.0,70,50,1,52
11,5.5,91,74,2,79
12,1.5,65,45,0,47
13,6.5,93,82,2,87
14,3.0,77,60,1,63
15,4.5,85,72,1,74
16,0.0,45,25,0,27
17,7.5,96,88,2,93
18,2.0,72,53,1,55
19,5.0,89,71,2,77
20,3.5,81,64,1,66
21,6.0,90,79,2,84
22,1.0,58,38,0,40
23,4.0,84,69,1,71
24,8.5,98,92,2,97
25,2.5,74,56,1,59
26,5.5,92,75,2,80
27,1.5,63,43,0,45
28,7.0,94,86,2,90
29,3.0,78,61,1,64
30,4.5,86,73,1,75
31,0.5,52,28,0,30
32,6.5,92,83,2,88
33,2.0,71,51,1,53
34,5.0,90,72,2,78
35,3.5,80,63,1,65
36,7.5,97,89,2,94
37,1.0,61,41,0,43
38,4.0,83,67,1,69
39,6.0,91,80,2,85
40,2.5,76,57,1,60
